qid,rougeL_with_pct,bleu_with_pct,rougeL_no_pct,bleu_no_pct
q_183,100.0,100.00000000000004,0.0,0.0
q_184,100.0,55.03212081491042,50.0,0.0
q_185,83.33333333333333,61.47881529512643,80.00000000000001,66.87403049764218
q_186,50.0,0.0,50.0,0.0
q_187,100.0,100.00000000000004,100.0,100.00000000000004
q_188,100.0,55.03212081491042,0.0,0.0
q_189,100.0,100.00000000000004,0.0,0.0
q_19,66.66666666666666,36.78794411714425,0.0,0.0
q_190,0.0,0.0,0.0,0.0
q_191,100.0,100.00000000000004,100.0,100.00000000000004
q_192,50.0,13.533528323661276,50.0,13.533528323661276
q_193,0.0,0.0,0.0,0.0
q_194,0.0,0.0,0.0,0.0
q_195,0.0,0.0,0.0,0.0
q_196,0.0,0.0,0.0,0.0
q_197,100.0,100.00000000000004,0.0,0.0
q_198,100.0,55.03212081491042,0.0,0.0
q_199,100.0,100.00000000000004,0.0,0.0
q_2,100.0,55.03212081491042,50.0,10.552670315936318
q_20,100.0,100.00000000000004,0.0,0.0
q_200,100.0,100.00000000000004,0.0,0.0
q_201,82.35294117647058,44.63236137853328,0.0,0.0
q_202,0.0,0.0,20.0,9.688464563433238
q_203,100.0,100.00000000000004,100.0,100.00000000000004
q_204,0.0,0.0,0.0,0.0
q_205,0.0,0.0,0.0,0.0
q_206,100.0,100.00000000000004,0.0,0.0
q_207,0.0,0.0,0.0,0.0
q_208,0.0,0.0,0.0,0.0
q_209,0.0,0.0,0.0,0.0
q_21,0.0,0.0,0.0,0.0
q_210,100.0,100.00000000000004,0.0,0.0
q_211,0.0,0.0,0.0,0.0
q_212,100.0,100.00000000000004,0.0,0.0
q_213,100.0,100.00000000000004,0.0,0.0
q_214,100.0,100.00000000000004,0.0,0.0
q_215,100.0,100.00000000000004,0.0,0.0
q_216,100.0,100.00000000000004,0.0,0.0
q_217,88.8888888888889,77.88007830714052,0.0,0.0
q_218,100.0,100.00000000000004,0.0,0.0
q_219,100.0,100.00000000000004,100.0,100.00000000000004
q_22,100.0,100.00000000000004,18.18181818181818,8.745825313180632
q_220,100.0,100.00000000000004,0.0,0.0
q_221,100.0,100.00000000000004,0.0,0.0
q_222,100.0,100.00000000000004,80.0,55.03212081491042
q_223,100.0,100.00000000000004,0.0,0.0
q_224,66.66666666666666,36.78794411714425,66.66666666666666,36.78794411714425
q_225,0.0,0.0,0.0,0.0
q_226,100.0,100.00000000000004,100.0,100.00000000000004
q_227,100.0,100.00000000000004,74.99999999999999,32.34325178227722
q_228,100.0,100.00000000000004,0.0,0.0
q_229,100.0,100.00000000000004,0.0,0.0
q_23,33.333333333333336,0.09118819655545167,0.0,0.0
q_230,100.0,100.00000000000004,0.0,0.0
q_231,100.0,100.00000000000004,0.0,0.0
q_232,86.95652173913044,73.61703354503868,0.0,0.0
q_233,100.0,100.00000000000004,57.14285714285715,39.43223765116288
q_234,0.0,0.0,0.0,0.0
q_235,100.0,100.00000000000004,100.0,100.00000000000004
q_236,100.0,100.00000000000004,0.0,0.0
q_237,100.0,100.00000000000004,0.0,0.0
q_238,0.0,0.0,0.0,0.0
q_239,100.0,100.00000000000004,0.0,0.0
q_24,100.0,100.00000000000004,0.0,0.0
q_240,50.0,13.533528323661276,0.0,0.0
q_241,100.0,100.00000000000004,100.0,100.00000000000004
q_242,66.66666666666666,49.99999999999999,66.66666666666666,49.99999999999999
q_243,100.0,100.00000000000004,0.0,0.0
q_244,100.0,100.00000000000004,0.0,0.0
q_245,80.0,60.653065971263366,25.0,0.0
q_246,57.14285714285715,22.31301601484299,28.571428571428577,0.0
q_247,100.0,89.31539818068698,0.0,0.0
q_248,100.0,100.00000000000004,100.0,100.00000000000004
q_249,100.0,49.99999999999999,0.0,0.0
q_25,100.0,100.00000000000004,100.0,100.00000000000004
q_250,100.0,100.00000000000004,0.0,0.0
q_251,100.0,100.00000000000004,0.0,0.0
q_252,100.0,100.00000000000004,0.0,0.0
q_253,100.0,100.00000000000004,100.0,100.00000000000004
q_254,80.0,36.78794411714425,0.0,0.0
q_255,100.0,100.00000000000004,0.0,0.0
q_256,40.0,0.673794699908547,0.0,0.0
q_257,100.0,100.00000000000004,0.0,0.0
q_258,100.0,100.00000000000004,0.0,0.0
q_259,100.0,100.00000000000004,100.0,100.00000000000004
q_26,88.8888888888889,66.87403049764218,28.571428571428577,19.716118825581447
q_260,100.0,36.78794411714425,0.0,0.0
q_261,100.0,100.00000000000004,100.0,100.00000000000004
q_262,100.0,100.00000000000004,0.0,0.0
q_263,100.0,100.00000000000004,0.0,0.0
q_264,100.0,100.00000000000004,0.0,0.0
q_265,80.0,36.78794411714425,0.0,0.0
q_266,40.0,18.393972058572114,0.0,0.0
q_267,80.0,55.03212081491042,57.14285714285715,21.3643503198117
q_268,100.0,100.00000000000004,0.0,0.0
q_269,18.181818181818183,7.809849842300641,66.66666666666666,18.393972058572114
q_27,66.66666666666666,27.51606040745522,0.0,0.0
q_270,0.0,0.0,100.0,55.03212081491042
q_271,100.0,100.00000000000004,100.0,100.00000000000004
q_272,0.0,0.0,100.0,100.00000000000004
q_273,0.0,0.0,66.66666666666666,36.78794411714425
q_274,100.0,100.00000000000004,0.0,0.0
q_275,0.0,0.0,0.0,0.0
q_276,100.0,100.00000000000004,100.0,100.00000000000004
q_277,0.0,0.0,100.0,100.00000000000004
q_278,100.0,100.00000000000004,100.0,100.00000000000004
q_279,100.0,100.00000000000004,100.0,100.00000000000004
q_28,100.0,100.00000000000004,20.000000000000004,10.682175159905853
q_280,0.0,0.0,100.0,100.00000000000004
q_281,0.0,0.0,0.0,0.0
q_282,100.0,49.99999999999999,50.0,0.0
q_283,100.0,100.00000000000004,100.0,100.00000000000004
q_284,50.0,15.97357760615681,66.66666666666666,49.99999999999999
q_285,0.0,0.0,0.0,0.0
q_286,100.0,49.99999999999999,50.0,0.0
q_287,100.0,100.00000000000004,100.0,100.00000000000004
q_288,50.0,15.97357760615681,100.0,100.00000000000004
q_289,100.0,0.0,0.0,0.0
q_29,40.0,3.0197383422318516,85.71428571428571,60.653065971263366
q_290,100.0,100.00000000000004,100.0,0.0
q_291,0.0,0.0,0.0,0.0
q_292,100.0,100.00000000000004,100.0,100.00000000000004
q_293,0.0,0.0,0.0,0.0
q_294,66.66666666666666,15.97357760615681,0.0,0.0
q_295,100.0,100.00000000000004,0.0,0.0
q_296,80.0,18.99589214128981,0.0,0.0
q_297,100.0,100.00000000000004,100.0,100.00000000000004
q_298,0.0,0.0,100.0,100.00000000000004
q_299,100.0,100.00000000000004,100.0,0.0
q_3,100.0,80.91067115702207,14.285714285714285,0.0
q_30,22.22222222222222,0.09118819655545167,40.0,4.9787068367863965
q_300,100.0,100.00000000000004,100.0,100.00000000000004
q_302,100.0,100.00000000000004,100.0,100.00000000000004
q_303,100.0,100.00000000000004,0.0,0.0
